,Date,Country,City,State,Company,Type,Keywords
0,2022-01-01,Japan,Tokyo,Tokyo,Wellness studios,In process of analysis,"株式会社エーワン東京 (awan tokyo co., ltd)"
1,2022-01-02,Spain,Madrid,Madrid,TV station,In process of analysis,laSexta
2,2022-01-02,Portugal,Paço de Arcos,Paço de Arcos,Media company,In process of analysis,Impresa
3,2022-01-03,Israel,Tel Aviv / תֵּל־אָבִיב–יָפוֹ,Tel Aviv / תֵּל־אָבִיב–יָפוֹ,Newspaper,In process of analysis,Maariv
4,2022-01-03,Israel,Jerusalem / ירושלים,Jerusalem / ירושלים,Newspaper,Website defacement,Jerusalem Post
5,2022-01-03,USA,Atlanta GA,GA,Healthcare provider,Business Email Compromise,"Georgia, Fulton County, DeKalb County, Healthcare,Wellstar Health"
6,2022-01-04,Germany,Gotha,TH,Statutory accident insurance,Ransomware,"Thuringia, Finance, Money,Healthcare,Unfallkasse Thüringen (UKT),Unfallkasse ThUringen (UKT)"
7,2022-01-04,Singapore,Missing,Missing,Department store,Unauthorized access,"Retail,OG Singapore"
8,2022-01-04,USA,Littleton CO,CO,Physicians,In process of analysis,"Colorado, Arapahoe County, Healthcare,South Denver Cardiology Associates"
9,2022-01-04,USA,Glastonbury CT,CT,Web hoster,Ransomware,"Connecticut, Hartford County,Finalsite"
10,2022-01-04,People's Republic of China,Hong Kong,Hong Kong,,In process of analysis,"Travel, Tourism,Harbour Plaza Hotel Management Limited"
11,2022-01-05,USA,Albuquerque NM,NM,County administration,Ransomware,"New Mexico, Bernalillo County, Administration, Authority, Government, Public sector,Bernalillo County"
12,2022-01-05,Spain,Palma,Palma,Health authority,In process of analysis,"Balearic Islands, Mallorca, Healthcare,Servei de Salut de les Illes Balears (IB-Salut)"
13,2022-01-07,Switzerland,Perlen LU,LU,"Chemistry, paper, packaging",In process of analysis,"Canton of Lucerne, Chemical,CPH-Gruppe"
14,2022-01-07,France,Chambray-lès-Tours,Chambray-lès-Tours,Hospital,In process of analysis,"Healthcare,Pôle Santé Léonard de Vinci"
15,2022-01-08,Italy,Torre del Greco,Torre del Greco,Healthcare provider,In process of analysis,"Italia,Healthcare,ASL Napoli 3 Sud"
16,2022-01-08,USA,Irvine CA,CA,School platform,Unauthorized access,"California, Orange County,Illuminate Education / IO Classroom"
17,2022-01-08,Turkey,Istanbul,Istanbul,Pizza chain,In process of analysis,"Groceries, Food,Domino's Pizza"
18,2022-01-08,USA,Griggsville IL,IL,School district,In process of analysis,"Illinois, Administration, Authority, Government, Public sector,Griggsville-Perry School District"
19,2022-01-09,USA,Marianna FL,FL,,Ransomware,"Florida, Healthcare,Jackson Hospital"
